"","geo_value","time_value","visits","admits","chngVisits","covidChngVisits","gsymptoms","cases"
"2","06001",2020-07-31,5.691242,1.525183,10.40844,1.284386,0.265714285714286,0
"7","06013",2020-07-31,4.639485,4.653213,10.026856,0.889957,0.327142857142857,93
"9","06019",2020-07-31,7.847492,8.849635,10.386455,1.037977,0.634285714285714,127
"12","06029",2020-07-31,5.255216,11.114657,8.823885,1.854336,0.722857142857143,924
"15","06037",2020-07-31,7.058677,6.276459,7.270688,0.564881,0.35,2609
"23","06059",2020-07-31,6.016749,6.092009,5.406297,0.5282,0.33,418
"25","06065",2020-07-31,3.797856,7.732632,5.724054,0.713925,0.487142857142857,382
"26","06067",2020-07-31,2.833722,7.376786,3.688778,0.41449,0.44,156
"28","06071",2020-07-31,4.30552,7.416926,6.108382,0.713311,0.508571428571429,542
"29","06073",2020-07-31,3.846372,2.446998,2.37519,0.289656,0.321428571428571,380
"30","06075",2020-07-31,7.27795,2.342269,17.810209,0.259278,0.254285714285714,152
"31","06077",2020-07-31,5.223771,5.628954,6.846593,1.172301,0.334285714285714,141
"33","06081",2020-07-31,4.432259,4.476304,6.501291,0.243536,0.2,71
"35","06085",2020-07-31,4.071594,0.990277,6.418951,0.506744,0.284285714285714,182
"44","06111",2020-07-31,3.86606,5.393538,5.778278,0.214768,0.262857142857143,241
"47","06001",2020-07-29,6.468668,1.332406,9.182914,1.200454,0.282857142857143,140
"52","06013",2020-07-29,5.443487,5.313282,9.71784,0.883475,0.354285714285714,410
"54","06019",2020-07-29,9.060977,7.450957,10.476325,1.208136,0.657142857142857,597
"57","06029",2020-07-29,6.23211,11.525598,8.851734,1.814204,0.76,448
"60","06037",2020-07-29,9.191478,6.813106,7.477307,0.598333,0.357142857142857,4741
"68","06059",2020-07-29,8.264278,6.409349,5.137477,0.592963,0.34,439
"70","06065",2020-07-29,4.826424,9.986032,5.43831,0.729908,0.524285714285714,249
"71","06067",2020-07-29,3.219192,7.155232,3.467099,0.412217,0.455714285714286,96
"73","06071",2020-07-29,4.675655,7.378432,5.523173,0.717769,0.535714285714286,2347
"74","06073",2020-07-29,4.827721,2.962732,2.445475,0.310614,0.328571428571429,282
"75","06075",2020-07-29,7.731378,2.683549,18.164035,0.300768,0.258571428571429,132
"76","06077",2020-07-29,5.520477,5.045797,7.386037,1.155854,0.364285714285714,286
"78","06081",2020-07-29,4.388327,2.84128,5.032707,0.373507,0.232857142857143,108
"80","06085",2020-07-29,5.388848,1.109788,6.001093,0.562268,0.288571428571429,253
