"","geo_value","time_value","visits","admits","chngVisits","covidChngVisits","gsymptoms","cases"
"1","06000",2020-07-31,3.554633,5.086037,16.411706,0.232762,0.331134935809888,0
"2","06001",2020-07-31,5.691242,1.525183,10.40844,1.284386,0.265714285714286,0
"3","06005",2020-07-31,0.692647,2.78638280990948,3.002966,0.93384,0.331134935809888,6
"4","06007",2020-07-31,3.349509,2.78638280990948,1.88817,0.083726,0.331134935809888,34
"5","06009",2020-07-31,3.189537,2.78638280990948,6.243463,2.130005,0.331134935809888,17
"6","06011",2020-07-31,4.7408,2.78638280990948,27.298557,1.046734,0.331134935809888,11
"7","06013",2020-07-31,4.639485,4.653213,10.026856,0.889957,0.327142857142857,93
"8","06017",2020-07-31,0.99807,2.78638280990948,1.590606,0.464864,0.331134935809888,24
"9","06019",2020-07-31,7.847492,8.849635,10.386455,1.037977,0.634285714285714,127
"10","06023",2020-07-31,0.393554,2.78638280990948,1.128884,0.081296,0.331134935809888,2
"11","06025",2020-07-31,5.60214,2.78638280990948,11.365539,1.781601,0.331134935809888,68
"12","06029",2020-07-31,5.255216,11.114657,8.823885,1.854336,0.722857142857143,924
"13","06031",2020-07-31,10.250188,2.78638280990948,8.641917,0.626554,0.331134935809888,234
"14","06033",2020-07-31,9.483496,2.78638280990948,0.501498,0.176487,0.331134935809888,12
"15","06037",2020-07-31,7.058677,6.276459,7.270688,0.564881,0.35,2609
"16","06039",2020-07-31,4.370441,2.78638280990948,7.825821,2.7791,0.331134935809888,57
"17","06041",2020-07-31,6.774357,2.924979,8.218315,0.129067,0.331134935809888,56
"18","06045",2020-07-31,0.276381,2.78638280990948,1.675824,0.344305,0.331134935809888,13
"19","06047",2020-07-31,17.113643,2.78638280990948,8.882405,1.042895,0.331134935809888,220
"20","06053",2020-07-31,6.711719,11.602357,9.602953,1.912213,0.331134935809888,85
"21","06055",2020-07-31,3.024946,2.78638280990948,5.018371,0.358008,0.331134935809888,23
"22","06057",2020-07-31,0.574116,2.78638280990948,1.080859,0.190233,0.331134935809888,6
"23","06059",2020-07-31,6.016749,6.092009,5.406297,0.5282,0.33,418
"24","06061",2020-07-31,2.245701,2.932956,2.301728,0.341182,0.331134935809888,54
"25","06065",2020-07-31,3.797856,7.732632,5.724054,0.713925,0.487142857142857,382
"26","06067",2020-07-31,2.833722,7.376786,3.688778,0.41449,0.44,156
"27","06069",2020-07-31,7.761835,2.78638280990948,13.718152,0.952863,0.331134935809888,13
"28","06071",2020-07-31,4.30552,7.416926,6.108382,0.713311,0.508571428571429,542
"29","06073",2020-07-31,3.846372,2.446998,2.37519,0.289656,0.321428571428571,380
"30","06075",2020-07-31,7.27795,2.342269,17.810209,0.259278,0.254285714285714,152
"31","06077",2020-07-31,5.223771,5.628954,6.846593,1.172301,0.334285714285714,141
"32","06079",2020-07-31,2.815515,2.062007,14.16321,0.122403,0.331134935809888,43
"33","06081",2020-07-31,4.432259,4.476304,6.501291,0.243536,0.2,71
"34","06083",2020-07-31,4.240243,2.78638280990948,13.227051,0.785508,0.331134935809888,73
"35","06085",2020-07-31,4.071594,0.990277,6.418951,0.506744,0.284285714285714,182
"36","06087",2020-07-31,5.026915,2.78638280990948,6.494823,0.625261,0.331134935809888,33
"37","06089",2020-07-31,0.787615,2.78638280990948,0.82127,0.184098,0.331134935809888,9
"38","06095",2020-07-31,2.039526,3.520164,4.056169,0.078753,0.331134935809888,91
"39","06097",2020-07-31,1.65471,3.314238,2.605074,0.310372,0.331134935809888,94
"40","06099",2020-07-31,12.203749,5.617898,4.026455,0.93244,0.331134935809888,145
"41","06101",2020-07-31,5.498086,2.78638280990948,1.605689,0.280664,0.331134935809888,13
"42","06103",2020-07-31,3.193624,2.78638280990948,1.601413,0.204313,0.331134935809888,-1
"43","06107",2020-07-31,11.266791,2.78638280990948,7.1323,1.578426,0.331134935809888,213
"44","06111",2020-07-31,3.86606,5.393538,5.778278,0.214768,0.262857142857143,241
"45","06113",2020-07-31,3.234996,2.78638280990948,3.499278,0.261532,0.331134935809888,16
"46","06000",2020-07-29,2.728816,5.403545,19.72563,0.239285,0.331134935809888,0
"47","06001",2020-07-29,6.468668,1.332406,9.182914,1.200454,0.282857142857143,140
"48","06005",2020-07-29,0.293329,2.78638280990948,3.074651,0.887,0.331134935809888,21
"49","06007",2020-07-29,3.817867,2.78638280990948,2.40671,0.071613,0.331134935809888,17
"50","06009",2020-07-29,4.324891,2.78638280990948,5.862431,1.608913,0.331134935809888,0
"51","06011",2020-07-29,5.706654,2.78638280990948,25.476055,0.669111,0.331134935809888,12
"52","06013",2020-07-29,5.443487,5.313282,9.71784,0.883475,0.354285714285714,410
"53","06017",2020-07-29,1.289631,2.78638280990948,1.685354,0.463932,0.331134935809888,10
"54","06019",2020-07-29,9.060977,7.450957,10.476325,1.208136,0.657142857142857,597
"55","06023",2020-07-29,0.391548,2.78638280990948,1.19798,0.107055,0.331134935809888,7
"56","06025",2020-07-29,5.77761,2.78638280990948,11.654818,1.556,0.331134935809888,52
"57","06029",2020-07-29,6.23211,11.525598,8.851734,1.814204,0.76,448
"58","06031",2020-07-29,11.045659,2.78638280990948,8.442814,0.410975,0.331134935809888,140
"59","06033",2020-07-29,6.507378,2.78638280990948,0.452992,0.089839,0.331134935809888,1
"60","06037",2020-07-29,9.191478,6.813106,7.477307,0.598333,0.357142857142857,4741
"61","06039",2020-07-29,4.896601,2.78638280990948,8.10027,2.893419,0.331134935809888,9
"62","06041",2020-07-29,6.927921,2.407278,6.784547,0.153855,0.331134935809888,0
"63","06045",2020-07-29,0.727203,2.78638280990948,1.261036,0.291047,0.331134935809888,19
"64","06047",2020-07-29,18.299145,2.78638280990948,9.745684,1.150413,0.331134935809888,143
"65","06053",2020-07-29,7.211159,13.529302,9.435109,2.082729,0.331134935809888,0
"66","06055",2020-07-29,3.043796,2.78638280990948,4.752581,0.183764,0.331134935809888,54
"67","06057",2020-07-29,0.611044,2.78638280990948,1.287537,0.235979,0.331134935809888,3
"68","06059",2020-07-29,8.264278,6.409349,5.137477,0.592963,0.34,439
"69","06061",2020-07-29,2.396615,6.030012,1.933503,0.391176,0.331134935809888,37
"70","06065",2020-07-29,4.826424,9.986032,5.43831,0.729908,0.524285714285714,249
"71","06067",2020-07-29,3.219192,7.155232,3.467099,0.412217,0.455714285714286,96
"72","06069",2020-07-29,7.917806,2.78638280990948,13.061661,0.419657,0.331134935809888,17
"73","06071",2020-07-29,4.675655,7.378432,5.523173,0.717769,0.535714285714286,2347
"74","06073",2020-07-29,4.827721,2.962732,2.445475,0.310614,0.328571428571429,282
"75","06075",2020-07-29,7.731378,2.683549,18.164035,0.300768,0.258571428571429,132
"76","06077",2020-07-29,5.520477,5.045797,7.386037,1.155854,0.364285714285714,286
"77","06079",2020-07-29,3.386995,1.752402,13.652837,0.105031,0.331134935809888,21
"78","06081",2020-07-29,4.388327,2.84128,5.032707,0.373507,0.232857142857143,108
"79","06083",2020-07-29,5.083826,2.78638280990948,12.040222,0.780186,0.331134935809888,90
"80","06085",2020-07-29,5.388848,1.109788,6.001093,0.562268,0.288571428571429,253
"81","06087",2020-07-29,6.480984,2.78638280990948,7.114578,0.361546,0.331134935809888,50
"82","06089",2020-07-29,0.909682,2.78638280990948,0.398259,0.058031,0.331134935809888,9
"83","06095",2020-07-29,2.600294,2.917494,3.967915,0.100637,0.331134935809888,74
"84","06097",2020-07-29,1.804899,2.613285,3.145639,0.339709,0.331134935809888,131
"85","06099",2020-07-29,12.976068,5.652347,4.369436,0.927938,0.331134935809888,204
"86","06101",2020-07-29,4.369287,2.78638280990948,1.174021,0.408497,0.331134935809888,30
"87","06103",2020-07-29,3.44545,2.78638280990948,2.630566,0.355821,0.331134935809888,5
"88","06107",2020-07-29,13.171033,2.78638280990948,7.092297,1.645429,0.331134935809888,214
"89","06111",2020-07-29,4.573977,4.986917,5.887316,0.151193,0.271428571428571,104
"90","06113",2020-07-29,4.415546,2.78638280990948,3.572569,0.436689,0.331134935809888,31
"91","06115",2020-07-29,3.526866,2.78638280990948,1.722811,0.232445,0.331134935809888,26
"92","06000",2020-07-30,3.282764,5.206865,18.013196,0.237907,0.331134935809888,0
"93","06001",2020-07-30,5.902294,1.369901,9.809751,1.280593,0.282857142857143,358
"94","06005",2020-07-30,0.474036,2.78638280990948,3.036285,0.910879,0.331134935809888,5
"95","06007",2020-07-30,3.599508,2.78638280990948,2.217794,0.096773,0.331134935809888,24
"96","06009",2020-07-30,3.616211,2.78638280990948,6.121587,1.885744,0.331134935809888,0
"97","06011",2020-07-30,5.290408,2.78638280990948,24.1539,0.774818,0.331134935809888,8
